review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes,true_method,prediction_path,manifest_path,human_composite_score
review_00018,example_00048,blur_contrast,test,Output 00018,3,3,4,3,1,3,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00048_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,6.0
review_00019,example_00048,blur_contrast,test,Output 00019,1,1,2,5,1,1,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00048_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,0.0
review_00020,example_00048,blur_contrast,test,Output 00020,4,3,4,2,1,4,yes,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00048_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,8.0
review_00021,example_00048,blur_contrast,test,Output 00021,1,1,1,5,1,1,no,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00048_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,-0.5
review_00022,example_00023,grain,test,Output 00022,3,3,3,2,1,3,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00023_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,6.0
review_00023,example_00023,grain,test,Output 00023,3,2,2,3,1,2,no,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00023_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,3.5
review_00024,example_00023,grain,test,Output 00024,1,2,3,4,1,1,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00023_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,1.5
review_00025,example_00023,grain,test,Output 00025,2,2,3,2,1,2,no,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00023_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
review_00026,example_00023,grain,test,Output 00026,3,2,2,4,1,2,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00023_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,3.0
review_00027,example_00023,grain,test,Output 00027,2,2,3,2,1,2,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00023_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
review_00028,example_00023,grain,test,Output 00028,1,2,3,2,1,2,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00023_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.5
review_00029,example_00043,scratch_dust,test,Output 00029,5,4,4,2,1,4,yes,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00043_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,9.0
review_00030,example_00043,scratch_dust,test,Output 00030,4,3,2,3,3,3,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00043_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,4.5
review_00031,example_00043,scratch_dust,test,Output 00031,2,2,2,3,3,1,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00043_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,1.0
review_00032,example_00043,scratch_dust,test,Output 00032,3,2,3,1,3,2,no,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00043_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,4.0
review_00033,example_00043,scratch_dust,test,Output 00033,1,2,2,4,4,1,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00043_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,-0.5
review_00034,example_00043,scratch_dust,test,Output 00034,1,3,3,1,1,1,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00043_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.5
review_00035,example_00043,scratch_dust,test,Output 00035,3,2,3,2,1,2,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00043_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,4.5
review_00036,example_00047,grain,test,Output 00036,2,2,3,3,2,2,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00047_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.0
review_00037,example_00047,grain,test,Output 00037,2,3,3,1,2,2,maybe,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00047_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.5
review_00038,example_00047,grain,test,Output 00038,2,3,2,2,1,2,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00047_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
review_00039,example_00047,grain,test,Output 00039,4,2,3,1,5,2,no,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00047_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,3.5
review_00040,example_00047,grain,test,Output 00040,3,2,2,3,3,2,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00047_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,2.5
review_00041,example_00047,grain,test,Output 00041,1,2,3,1,1,2,no,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00047_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
review_00042,example_00047,grain,test,Output 00042,3,2,3,3,4,2,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00047_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,2.5
review_00043,example_00052,scratch_dust,test,Output 00043,5,3,4,2,1,5,yes,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00052_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,9.5
review_00044,example_00052,scratch_dust,test,Output 00044,5,3,4,2,1,5,yes,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00052_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,9.5
review_00045,example_00052,scratch_dust,test,Output 00045,1,2,2,1,1,1,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00052_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.5
review_00046,example_00052,scratch_dust,test,Output 00046,1,2,3,3,1,1,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00052_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.0
review_00047,example_00052,scratch_dust,test,Output 00047,3,2,3,3,3,2,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00052_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,3.0
review_00048,example_00052,scratch_dust,test,Output 00048,1,3,4,1,2,2,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00052_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.5
review_00049,example_00052,scratch_dust,test,Output 00049,5,3,3,4,1,3,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00052_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,6.0
review_00050,example_00121,scratch_dust,test,Output 00050,5,3,3,4,2,4,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00121_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,6.5
review_00051,example_00121,scratch_dust,test,Output 00051,5,2,3,4,3,2,no,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00121_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.5
review_00052,example_00121,scratch_dust,test,Output 00052,5,3,4,3,3,3,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00121_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,6.0
review_00053,example_00121,scratch_dust,test,Output 00053,1,2,3,1,1,2,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00121_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
review_00054,example_00121,scratch_dust,test,Output 00054,1,2,3,2,1,1,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00121_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.5
review_00055,example_00121,scratch_dust,test,Output 00055,1,2,2,4,4,1,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00121_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,-0.5
review_00056,example_00121,scratch_dust,test,Output 00056,3,1,3,4,4,3,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00121_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,2.5
review_00057,example_00025,scratch_dust,test,Output 00057,1,2,2,3,2,2,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00025_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.0
review_00058,example_00025,scratch_dust,test,Output 00058,1,2,3,2,2,2,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00025_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.0
review_00059,example_00025,scratch_dust,test,Output 00059,5,3,3,3,2,4,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00025_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,7.0
review_00060,example_00025,scratch_dust,test,Output 00060,3,3,3,2,3,3,maybe,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00025_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,5.0
review_00061,example_00025,scratch_dust,test,Output 00061,1,2,2,4,3,1,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00025_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,0.0
review_00062,example_00025,scratch_dust,test,Output 00062,5,4,4,2,2,5,yes,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00025_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,9.5
review_00063,example_00025,scratch_dust,test,Output 00063,5,4,4,3,2,4,yes,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00025_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,8.0
review_00064,example_00046,scratch_dust,test,Output 00064,1,2,3,3,3,1,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00046_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,1.0
review_00065,example_00046,scratch_dust,test,Output 00065,4,3,3,3,2,3,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00046_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,5.5
review_00066,example_00046,scratch_dust,test,Output 00066,2,2,3,3,3,2,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00046_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,2.5
review_00067,example_00046,scratch_dust,test,Output 00067,1,1,2,3,3,1,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00046_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,0.0
review_00068,example_00046,scratch_dust,test,Output 00068,1,3,3,1,1,2,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00046_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.5
review_00069,example_00046,scratch_dust,test,Output 00069,5,3,4,3,2,4,yes,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00046_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,7.5
review_00070,example_00046,scratch_dust,test,Output 00070,5,2,2,3,2,3,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00046_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,5.0
review_00071,example_00054,blur_contrast,test,Output 00071,3,3,3,3,2,3,maybe,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00054_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,5.0
review_00072,example_00054,blur_contrast,test,Output 00072,2,2,3,3,1,2,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00054_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.5
review_00073,example_00054,blur_contrast,test,Output 00073,3,3,3,2,2,3,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00054_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,5.5
review_00074,example_00054,blur_contrast,test,Output 00074,1,1,2,4,3,1,no,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00054_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,-0.5
review_00075,example_00054,blur_contrast,test,Output 00075,4,3,4,2,2,4,yes,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00054_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,7.5
review_00076,example_00054,blur_contrast,test,Output 00076,1,1,1,4,4,1,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00054_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,-1.5
review_00077,example_00054,blur_contrast,test,Output 00077,1,2,3,2,2,2,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00054_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.0
review_00078,example_00044,grain,test,Output 00078,4,2,3,3,2,3,maybe,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00044_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,5.0
review_00079,example_00044,grain,test,Output 00079,1,2,3,1,1,2,no,,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00044_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
review_00080,example_00044,grain,test,Output 00080,4,2,3,4,3,3,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00044_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,4.0
review_00081,example_00044,grain,test,Output 00081,2,2,3,3,3,2,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00044_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,2.5
review_00082,example_00044,grain,test,Output 00082,1,2,3,1,1,2,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00044_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
review_00083,example_00044,grain,test,Output 00083,1,3,3,1,1,2,,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00044_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.5
review_00084,example_00044,grain,test,Output 00084,4,3,3,3,3,4,maybe,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00044_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,6.0
review_00085,example_00005,grain,test,Output 00085,4,3,3,3,2,3,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00005_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,5.5
review_00086,example_00005,grain,test,Output 00086,3,2,3,4,4,2,no,,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00005_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv,2.0
review_00087,example_00005,grain,test,Output 00087,4,4,4,2,1,4,yes,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00005_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,8.5
review_00088,example_00005,grain,test,Output 00088,3,2,2,4,1,2,no,,median,outputs\predictions\baselines_nosferatu_v0\median\example_00005_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.0
review_00089,example_00005,grain,test,Output 00089,1,3,3,2,2,2,no,,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00005_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,3.5
review_00090,example_00005,grain,test,Output 00090,2,2,3,2,1,2,no,,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00005_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv,4.0
