review_id,example_id,degradation_type,split,blind_label,true_method,prediction_path,manifest_path
review_00011,example_00024,blur_contrast,test,Output 00011,median,outputs\predictions\baselines_nosferatu_v0\median\example_00024_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00012,example_00024,blur_contrast,test,Output 00012,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00024_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00013,example_00024,blur_contrast,test,Output 00013,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00024_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00014,example_00024,blur_contrast,test,Output 00014,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00024_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00015,example_00048,blur_contrast,test,Output 00015,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00048_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00016,example_00048,blur_contrast,test,Output 00016,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00048_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00017,example_00048,blur_contrast,test,Output 00017,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00048_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00018,example_00048,blur_contrast,test,Output 00018,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00048_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00019,example_00048,blur_contrast,test,Output 00019,median,outputs\predictions\baselines_nosferatu_v0\median\example_00048_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00020,example_00048,blur_contrast,test,Output 00020,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00048_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00021,example_00048,blur_contrast,test,Output 00021,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00048_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00022,example_00023,grain,test,Output 00022,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00023_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00023,example_00023,grain,test,Output 00023,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00023_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00024,example_00023,grain,test,Output 00024,median,outputs\predictions\baselines_nosferatu_v0\median\example_00023_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00025,example_00023,grain,test,Output 00025,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00023_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00026,example_00023,grain,test,Output 00026,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00023_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00027,example_00023,grain,test,Output 00027,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00023_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00028,example_00023,grain,test,Output 00028,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00023_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00029,example_00043,scratch_dust,test,Output 00029,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00043_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00030,example_00043,scratch_dust,test,Output 00030,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00043_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00031,example_00043,scratch_dust,test,Output 00031,median,outputs\predictions\baselines_nosferatu_v0\median\example_00043_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00032,example_00043,scratch_dust,test,Output 00032,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00043_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00033,example_00043,scratch_dust,test,Output 00033,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00043_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00034,example_00043,scratch_dust,test,Output 00034,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00043_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00035,example_00043,scratch_dust,test,Output 00035,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00043_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00036,example_00047,grain,test,Output 00036,median,outputs\predictions\baselines_nosferatu_v0\median\example_00047_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00037,example_00047,grain,test,Output 00037,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00047_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00038,example_00047,grain,test,Output 00038,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00047_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00039,example_00047,grain,test,Output 00039,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00047_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00040,example_00047,grain,test,Output 00040,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00047_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00041,example_00047,grain,test,Output 00041,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00047_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00042,example_00047,grain,test,Output 00042,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00047_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00043,example_00052,scratch_dust,test,Output 00043,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00052_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00044,example_00052,scratch_dust,test,Output 00044,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00052_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00045,example_00052,scratch_dust,test,Output 00045,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00052_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00046,example_00052,scratch_dust,test,Output 00046,median,outputs\predictions\baselines_nosferatu_v0\median\example_00052_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00047,example_00052,scratch_dust,test,Output 00047,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00052_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00048,example_00052,scratch_dust,test,Output 00048,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00052_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00049,example_00052,scratch_dust,test,Output 00049,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00052_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00050,example_00121,scratch_dust,test,Output 00050,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00121_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00051,example_00121,scratch_dust,test,Output 00051,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00121_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00052,example_00121,scratch_dust,test,Output 00052,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00121_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00053,example_00121,scratch_dust,test,Output 00053,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00121_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00054,example_00121,scratch_dust,test,Output 00054,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00121_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00055,example_00121,scratch_dust,test,Output 00055,median,outputs\predictions\baselines_nosferatu_v0\median\example_00121_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00056,example_00121,scratch_dust,test,Output 00056,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00121_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00057,example_00025,scratch_dust,test,Output 00057,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00025_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00058,example_00025,scratch_dust,test,Output 00058,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00025_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00059,example_00025,scratch_dust,test,Output 00059,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00025_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00060,example_00025,scratch_dust,test,Output 00060,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00025_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00061,example_00025,scratch_dust,test,Output 00061,median,outputs\predictions\baselines_nosferatu_v0\median\example_00025_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00062,example_00025,scratch_dust,test,Output 00062,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00025_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00063,example_00025,scratch_dust,test,Output 00063,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00025_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00064,example_00046,scratch_dust,test,Output 00064,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00046_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00065,example_00046,scratch_dust,test,Output 00065,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00046_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00066,example_00046,scratch_dust,test,Output 00066,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00046_scratch_dust_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00067,example_00046,scratch_dust,test,Output 00067,median,outputs\predictions\baselines_nosferatu_v0\median\example_00046_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00068,example_00046,scratch_dust,test,Output 00068,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00046_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00069,example_00046,scratch_dust,test,Output 00069,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00046_scratch_dust_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00070,example_00046,scratch_dust,test,Output 00070,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00046_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00071,example_00054,blur_contrast,test,Output 00071,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00054_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00072,example_00054,blur_contrast,test,Output 00072,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00054_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00073,example_00054,blur_contrast,test,Output 00073,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00054_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00074,example_00054,blur_contrast,test,Output 00074,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00054_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00075,example_00054,blur_contrast,test,Output 00075,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00054_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00076,example_00054,blur_contrast,test,Output 00076,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00054_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00077,example_00054,blur_contrast,test,Output 00077,median,outputs\predictions\baselines_nosferatu_v0\median\example_00054_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00078,example_00044,grain,test,Output 00078,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00044_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00079,example_00044,grain,test,Output 00079,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00044_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00080,example_00044,grain,test,Output 00080,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00044_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00081,example_00044,grain,test,Output 00081,median,outputs\predictions\baselines_nosferatu_v0\median\example_00044_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00082,example_00044,grain,test,Output 00082,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00044_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00083,example_00044,grain,test,Output 00083,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00044_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00084,example_00044,grain,test,Output 00084,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00044_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00085,example_00005,grain,test,Output 00085,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00005_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00086,example_00005,grain,test,Output 00086,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00005_grain_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00087,example_00005,grain,test,Output 00087,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00005_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00088,example_00005,grain,test,Output 00088,median,outputs\predictions\baselines_nosferatu_v0\median\example_00005_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00089,example_00005,grain,test,Output 00089,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00005_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00090,example_00005,grain,test,Output 00090,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00005_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00091,example_00005,grain,test,Output 00091,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00005_grain_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00092,example_00045,blur_contrast,test,Output 00092,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00045_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00093,example_00045,blur_contrast,test,Output 00093,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00045_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00094,example_00045,blur_contrast,test,Output 00094,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00045_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00095,example_00045,blur_contrast,test,Output 00095,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00045_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00096,example_00045,blur_contrast,test,Output 00096,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00045_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00097,example_00045,blur_contrast,test,Output 00097,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00045_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00098,example_00045,blur_contrast,test,Output 00098,median,outputs\predictions\baselines_nosferatu_v0\median\example_00045_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00099,example_00006,blur_contrast,test,Output 00099,unchanged,outputs\predictions\baselines_nosferatu_v0\unchanged\example_00006_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00100,example_00006,blur_contrast,test,Output 00100,nl_means_denoise,outputs\predictions\baselines_nosferatu_v0\nl_means_denoise\example_00006_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00101,example_00006,blur_contrast,test,Output 00101,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00006_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00102,example_00006,blur_contrast,test,Output 00102,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00006_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00103,example_00006,blur_contrast,test,Output 00103,conditional_ddpm_v2_test_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\conditional_ddpm_v2_test_50_steps\example_00006_blur_contrast_conditional_ddpm_v2_test_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v2_test_50steps\prediction_manifest.csv
review_00104,example_00006,blur_contrast,test,Output 00104,inpaint_or_denoise,outputs\predictions\baselines_nosferatu_v0\inpaint_or_denoise\example_00006_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
review_00105,example_00006,blur_contrast,test,Output 00105,median,outputs\predictions\baselines_nosferatu_v0\median\example_00006_blur_contrast_prediction.png,outputs\predictions\baselines_nosferatu_v0\prediction_manifest.csv
