review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes
review_00107,example_00053,grain,test,Output 00107,1,2,3,1,1,2,no,
review_00108,example_00053,grain,test,Output 00108,3,2,2,3,3,2,no,
review_00109,example_00053,grain,test,Output 00109,4,3,2,4,3,3,no,
review_00110,example_00053,grain,test,Output 00110,2,2,2,2,2,2,no,
review_00111,example_00053,grain,test,Output 00111,4,3,2,3,3,3,maybe,
review_00112,example_00053,grain,test,Output 00112,5,3,3,3,2,4,yes,
review_00113,example_00026,grain,test,Output 00113,4,3,4,3,2,3,maybe,
review_00114,example_00026,grain,test,Output 00114,2,2,3,3,2,2,no,
review_00115,example_00026,grain,test,Output 00115,4,3,3,3,2,3,maybe,
review_00116,example_00026,grain,test,Output 00116,2,2,3,2,2,2,no,
review_00117,example_00026,grain,test,Output 00117,2,2,3,3,2,2,no,
review_00118,example_00026,grain,test,Output 00118,4,3,4,2,1,4,yes,
review_00119,example_00026,grain,test,Output 00119,3,2,2,4,3,2,no,
review_00120,example_00027,blur_contrast,test,Output 00120,4,3,2,3,3,3,maybe,
review_00121,example_00027,blur_contrast,test,Output 00121,1,2,2,3,1,2,no,
review_00122,example_00027,blur_contrast,test,Output 00122,2,1,2,3,2,2,no,
review_00123,example_00027,blur_contrast,test,Output 00123,1,1,2,3,3,2,no,
review_00124,example_00027,blur_contrast,test,Output 00124,3,2,3,3,2,3,maybe,
review_00125,example_00027,blur_contrast,test,Output 00125,4,3,3,3,3,3,maybe,
review_00126,example_00027,blur_contrast,test,Output 00126,2,2,2,3,2,2,no,
review_00127,example_00004,scratch_dust,test,Output 00127,1,2,3,2,1,2,no,
review_00128,example_00004,scratch_dust,test,Output 00128,1,1,2,4,3,1,no,
review_00129,example_00004,scratch_dust,test,Output 00129,4,3,4,3,3,3,maybe,
review_00130,example_00004,scratch_dust,test,Output 00130,3,2,3,3,2,3,no,
review_00131,example_00004,scratch_dust,test,Output 00131,3,2,3,3,2,3,no,
review_00132,example_00004,scratch_dust,test,Output 00132,2,2,3,2,2,2,no,
review_00133,example_00004,scratch_dust,test,Output 00133,1,3,3,3,2,2,no,
review_00134,example_00022,scratch_dust,test,Output 00134,3,1,3,4,2,2,,
review_00135,example_00022,scratch_dust,test,Output 00135,1,2,2,3,2,2,no,
review_00136,example_00022,scratch_dust,test,Output 00136,1,3,3,3,3,2,no,
review_00137,example_00022,scratch_dust,test,Output 00137,5,3,3,3,2,3,maybe,
review_00138,example_00022,scratch_dust,test,Output 00138,3,2,3,3,4,2,no,
review_00139,example_00022,scratch_dust,test,Output 00139,1,2,3,2,2,2,no,
review_00140,example_00022,scratch_dust,test,Output 00140,3,2,3,2,5,3,no,
review_00141,example_00123,blur_contrast,test,Output 00141,4,4,4,3,2,4,yes,
review_00142,example_00123,blur_contrast,test,Output 00142,4,3,3,3,2,3,maybe,
review_00143,example_00123,blur_contrast,test,Output 00143,4,4,4,2,3,4,yes,
review_00144,example_00123,blur_contrast,test,Output 00144,2,1,2,4,2,1,no,
review_00145,example_00123,blur_contrast,test,Output 00145,1,1,2,4,3,2,no,
review_00146,example_00123,blur_contrast,test,Output 00146,1,2,2,3,2,2,no,
review_00147,example_00123,blur_contrast,test,Output 00147,2,2,2,3,3,2,no,
