frame_path,joined_text,char_count,word_count,mean_conf,max_conf,text_area_fraction,auto_text_frame,manual_keep,manual_notes
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000045.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000046.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000047.png,"From the of Johann Cava able historian ofhis native of Bremen: 'Nosteratu! That name alone can chill the blood! 'Nosteratu! Was it he who brought the plague to Bremen in 18382' Illius, diary city",154,34,0.8539,0.9999,0.61122,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000048.png,"From the of Johann Cava= able historian of his native of Bremen: 'Nosferatu! That name alone can chill the bloodi 'Nosferatu! Was it he who brought the plague to Bremen in 18382' diary Illius, city",155,35,0.8571,1.0,0.62019,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000049.png,"From the of Johann Caval able historian of his native of Bremen: 'Nosferatu! That name lone can chill the bloodl 'Nosferatu! Was it he who brought the plague to Bremen in 18382' diary Illius, city",155,35,0.8694,1.0,0.61357,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000050.png,"From the of Johann Cavab able historian of his native of Bremen: 'Nosteratu! That name lone can chill the blood! 'Nosferatu! Was if he who brought the plague to Bremen in 18382' diary llius, city",153,35,0.8362,1.0,0.61115,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000051.png,"From the of Johann Caval able historian of his native of Bremen: 'Nosferatu! That name alone can chill the blood! 'Nosferatu! Was it he who brought the plague to Bremen in 18382' diary Jllius, city",155,35,0.8588,0.9999,0.62154,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000052.png,"From the of Johann Cavallius, able historian of Bremen: 'Nosteratu! That name lone can chill the blood! 'Nosferatu! Was it he who brought the plague to Bremen in 18382' diary city",141,31,0.852,0.9999,0.5977,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000053.png,"From the of Johann Cavab able historian of his native of Bremen: 'Nosteratu! That name alone can chill the bloodi 'Nosferatu! Was it he who brought the plague to Bremen in18382' diary llius, city",155,34,0.9224,1.0,0.6197,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000054.png,"From the of Johann Cavae able historian of his native city of Bremen: 'Nosferatu! That name lone can chill the blood! 'Nosferatu! Was it he who brought the plague to Bremen in 18382' diary Illius,",154,35,0.8534,0.9999,0.60478,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000055.png,"From the of Johann Caval able historian ofhis native of Bremen: 'Nosteratu! That name lone can chill the blood! 'Nosferatu! Was it he who brought the plague to Bremen in 18382' diary llius, city",153,34,0.901,1.0,0.61105,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000056.png,"From the of Johann Caval able historian ofhis native of Bremen: 'Nosteratu! That name lone can chill the blood! 'Nosferatu! Was it he who brought the plague to Bremen in 18382' diary llius, city",153,34,0.9096,1.0,0.61999,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000057.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000058.png,"'Ihave the causes of that terrible epidem and tound at its origin its climax the innocent of Jonathon Harker and his young Nina sought long ic, and figures wife,",130,29,0.881,0.9999,0.51508,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000059.png,"'Ihave the causes of that terrible epidemi and found at its origin and its climax the innocent of Jonathon Harker and his young wife, Nina' sought long 1ic, figures",132,29,0.8535,0.998,0.53245,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000060.png,"'Ihave the causes of that terrible epidemi tound at its origin its climax the innocent of Jonathon Harker and his young Nina sought long ic, and and figures wife,",131,29,0.8973,1.0,0.51946,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000061.png,"'Ihave the causes of that terrible epidemic, and found at its origin and its climax the innocent of Jonathon Harker and his young wife, Nina sought long figures",130,28,0.8906,0.9995,0.52541,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000062.png,"'Ihave the causes of that terrible epidem and found at its origin and its climax the innocent of Jonathon Harker and his young Nina sought long figures wife,",128,28,0.9082,1.0,0.50042,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000063.png,"'Ihave the causes of that terrible epidem and found at its origin and its climax the innocent of Jonathon Harker and his young Nina sought long iic, figures wife,",131,29,0.849,1.0,0.50295,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000064.png,"'have the causes of that terrible epidemi and found at its origin its climax the innocent of Jonathon Harker and his young Nina' sought long 1ic, and figures wife,",131,29,0.8573,1.0,0.51294,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000065.png,"'Thave the causes of that terrible epidem and found at its origin and its climax the innocent of Jonathon Harker and his young Nina' sought long figures wife,",128,28,0.8918,1.0,0.49218,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000066.png,"'Ihave the causes of that terrible epidem) and found at its origin and its climax the innocent of Jonathon Harker his young wife, Nina: sought long figures and",128,28,0.8518,1.0,0.50095,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000067.png,"'Ihave the causes of that terrible epidemi and found at its origin its climax the innocent of Jonathon Harker and his young Nina sought long ic, and figures wife,",131,29,0.9053,0.9998,0.51415,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000068.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000069.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000070.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000071.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000072.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000073.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000074.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000075.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000076.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000077.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000078.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000079.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000080.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000081.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000082.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000083.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000084.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000085.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000086.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000087.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000088.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000089.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000090.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000091.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000092.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000093.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000094.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000095.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000096.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000097.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000098.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000099.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000100.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000101.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000102.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000103.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000104.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000105.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000106.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000107.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000108.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000109.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000110.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000111.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000112.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000113.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000114.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000115.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000116.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000117.png,"young You cant escape destiny by running Wait,",38,8,0.9241,1.0,0.1744,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000118.png,Wait; young man: cant escape destiny running You by,41,9,0.7634,1.0,0.20264,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000119.png,"young man: cant escape destiny running Wait, You bY",41,9,0.8317,1.0,0.19549,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000120.png,"young man: You cantt escape destiny by running away . Wait,",46,10,0.9189,1.0,0.19269,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000121.png,"young Man: You can t escape destiny running away . Wait, by",45,10,0.8084,1.0,0.20932,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000122.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000123.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000124.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000125.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000126.png,"'The agent Renfield strange man, and there were unpleasant rumours about him",63,12,0.9677,1.0,0.23474,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000127.png,"The agent Renfield strange man, and there were unpleasant rumours about him:'",63,12,0.8927,1.0,0.23541,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000128.png,"The agent Renfield waS strange man, and there were unpleasant rumours about him:'",66,13,0.857,1.0,0.24129,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000129.png,"The agent Renfield strange man, and there were unpleasant rumours about him'",63,12,0.9039,0.9999,0.23384,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000130.png,"'The agent Renfield strange man, and there were unpleasant rumours about him'",63,12,0.9473,0.9995,0.24052,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000131.png,"The agent Renfield strange man, and there were unpleasant rumours about him'",63,12,0.8856,0.9999,0.23681,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000132.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000133.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000134.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000135.png,Ti',2,1,0.4441,0.4441,0.01717,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000136.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000137.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000138.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000139.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000140.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000141.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000142.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000143.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000144.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000145.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000146.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000147.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000148.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000149.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000150.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000151.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000152.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000153.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000154.png,,0,0,0.0,0.0,0.0,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000155.png,'Here is an important letter From Transylvania: Count Dracula wishes to house in Our buy city,76,16,0.9285,0.9993,0.28235,1,,
